Date,Adj Close,Close,High,Low,Open,Volume
2018-01-01,13657.2001953125,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000
2018-01-02,14982.099609375,14982.099609375,15444.599609375,13163.599609375,13625.0,16846600192
2018-01-03,15201.0,15201.0,15572.7998046875,14844.5,14978.2001953125,16871900160
2018-01-04,15599.2001953125,15599.2001953125,15739.7001953125,14522.2001953125,15270.7001953125,21783199744
2018-01-05,17429.5,17429.5,17705.19921875,15202.7998046875,15477.2001953125,23840899072
2018-01-06,17527.0,17527.0,17712.400390625,16764.599609375,17462.099609375,18314600448
2018-01-07,16477.599609375,16477.599609375,17579.599609375,16087.7001953125,17527.30078125,15866000384
2018-01-08,15170.099609375,15170.099609375,16537.900390625,14208.2001953125,16476.19921875,18413899776
2018-01-09,14595.400390625,14595.400390625,15497.5,14424.0,15123.7001953125,16659999744
2018-01-10,14973.2998046875,14973.2998046875,14973.2998046875,13691.2001953125,14588.5,18500800512
2018-01-11,13405.7998046875,13405.7998046875,15018.7998046875,13105.900390625,14968.2001953125,16534099968
2018-01-12,13980.599609375,13980.599609375,14229.900390625,13158.099609375,13453.900390625,12065699840
2018-01-13,14360.2001953125,14360.2001953125,14659.5,13952.400390625,13952.400390625,12763599872
2018-01-14,13772.0,13772.0,14511.7998046875,13268.0,14370.7998046875,11084099584
2018-01-15,13819.7998046875,13819.7998046875,14445.5,13641.7001953125,13767.2998046875,12750799872
2018-01-16,11490.5,11490.5,13843.099609375,10194.900390625,13836.099609375,18853799936
2018-01-17,11188.599609375,11188.599609375,11678.0,9402.2900390625,11431.099609375,18830600192
2018-01-18,11474.900390625,11474.900390625,12107.2998046875,10942.5,11198.7998046875,15020399616
2018-01-19,11607.400390625,11607.400390625,11992.7998046875,11172.099609375,11429.7998046875,10740400128
2018-01-20,12899.2001953125,12899.2001953125,13103.0,11656.2001953125,11656.2001953125,11801700352
2018-01-21,11600.099609375,11600.099609375,12895.900390625,11288.2001953125,12889.2001953125,9935179776
2018-01-22,10931.400390625,10931.400390625,11966.400390625,10240.2001953125,11633.099609375,10537400320
2018-01-23,10868.400390625,10868.400390625,11377.599609375,10129.7001953125,10944.5,9660609536
2018-01-24,11359.400390625,11359.400390625,11501.400390625,10639.7998046875,10903.400390625,9940989952
2018-01-25,11259.400390625,11259.400390625,11785.7001953125,11057.400390625,11421.7001953125,8873169920
2018-01-26,11171.400390625,11171.400390625,11656.7001953125,10470.2998046875,11256.0,9746199552
2018-01-27,11440.7001953125,11440.7001953125,11614.900390625,10989.2001953125,11174.900390625,7583269888
2018-01-28,11786.2998046875,11786.2998046875,12040.2998046875,11475.2998046875,11475.2998046875,8350360064
2018-01-29,11296.400390625,11296.400390625,11875.599609375,11179.2001953125,11755.5,7107359744
2018-01-30,10106.2998046875,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840
2018-01-31,10221.099609375,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192
2018-02-01,9170.5400390625,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448
2018-02-02,8830.75,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712
2018-02-03,9174.91015625,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080
2018-02-04,8277.009765625,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824
2018-02-05,6955.27001953125,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984
2018-02-06,7754.0,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320
2018-02-07,7621.2998046875,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000
2018-02-08,8265.58984375,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464
2018-02-09,8736.98046875,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224
2018-02-10,8621.900390625,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256
2018-02-11,8129.97021484375,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824
2018-02-12,8926.5703125,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808
2018-02-13,8598.3095703125,8598.3095703125,8958.4697265625,8455.41015625,8926.7197265625,5696719872
2018-02-14,9494.6298828125,9494.6298828125,9518.5400390625,8599.919921875,8599.919921875,7909819904
2018-02-15,10166.400390625,10166.400390625,10234.7998046875,9395.580078125,9488.3203125,9062540288
2018-02-16,10233.900390625,10233.900390625,10324.099609375,9824.8203125,10135.7001953125,7296159744
2018-02-17,11112.7001953125,11112.7001953125,11139.5,10149.400390625,10207.5,8660880384
2018-02-18,10551.7998046875,10551.7998046875,11349.7998046875,10326.0,11123.400390625,8744009728
2018-02-19,11225.2998046875,11225.2998046875,11273.7998046875,10513.2001953125,10552.599609375,7652089856
2018-02-20,11403.7001953125,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288
2018-02-21,10690.400390625,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648
2018-02-22,10005.0,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872
2018-02-23,10301.099609375,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032
2018-02-24,9813.0703125,9813.0703125,10597.2001953125,9546.9697265625,10287.7001953125,6917929984
2018-02-25,9664.73046875,9664.73046875,9923.2197265625,9407.0595703125,9796.419921875,5706939904
2018-02-26,10366.7001953125,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240
2018-02-27,10725.599609375,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840
2018-02-28,10397.900390625,10397.900390625,11089.7998046875,10393.099609375,10687.2001953125,6936189952
2018-03-01,10951.0,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744
2018-03-02,11086.400390625,11086.400390625,11189.0,10850.099609375,10977.400390625,7620590080
2018-03-03,11489.7001953125,11489.7001953125,11528.2001953125,11002.400390625,11101.900390625,6690570240
2018-03-04,11512.599609375,11512.599609375,11512.599609375,11136.099609375,11497.400390625,6084149760
2018-03-05,11573.2998046875,11573.2998046875,11704.099609375,11443.900390625,11532.400390625,6468539904
2018-03-06,10779.900390625,10779.900390625,11500.099609375,10694.2998046875,11500.099609375,6832169984
2018-03-07,9965.5703125,9965.5703125,10929.5,9692.1201171875,10803.900390625,8797910016
2018-03-08,9395.009765625,9395.009765625,10147.400390625,9335.8701171875,9951.4404296875,7186089984
2018-03-09,9337.5498046875,9337.5498046875,9466.349609375,8513.0302734375,9414.6904296875,8704190464
2018-03-10,8866.0,8866.0,9531.3203125,8828.4697265625,9350.58984375,5386319872
2018-03-11,9578.6298828125,9578.6298828125,9711.8896484375,8607.1201171875,8852.7802734375,6296370176
2018-03-12,9205.1201171875,9205.1201171875,9937.5,8956.4296875,9602.9296875,6457399808
2018-03-13,9194.849609375,9194.849609375,9470.3798828125,8958.1904296875,9173.0400390625,5991139840
2018-03-14,8269.8095703125,8269.8095703125,9355.849609375,8068.58984375,9214.650390625,6438230016
2018-03-15,8300.8603515625,8300.8603515625,8428.349609375,7783.0498046875,8290.759765625,6834429952
2018-03-16,8338.349609375,8338.349609375,8585.150390625,8005.31005859375,8322.91015625,5289379840
2018-03-17,7916.8798828125,7916.8798828125,8346.5302734375,7812.81982421875,8321.91015625,4426149888
2018-03-18,8223.6796875,8223.6796875,8245.509765625,7397.990234375,7890.52001953125,6639190016
2018-03-19,8630.650390625,8630.650390625,8675.8701171875,8182.39990234375,8344.1201171875,6729110016
2018-03-20,8913.4697265625,8913.4697265625,9051.01953125,8389.8896484375,8619.669921875,6361789952
2018-03-21,8929.2802734375,8929.2802734375,9177.3701171875,8846.330078125,8937.48046875,6043129856
2018-03-22,8728.4697265625,8728.4697265625,9100.7099609375,8564.900390625,8939.4404296875,5530390016
2018-03-23,8879.6201171875,8879.6201171875,8879.6201171875,8360.6201171875,8736.25,5954120192
2018-03-24,8668.1201171875,8668.1201171875,8996.1796875,8665.7001953125,8901.9501953125,5664600064
2018-03-25,8495.7802734375,8495.7802734375,8682.009765625,8449.099609375,8612.8095703125,4569880064
2018-03-26,8209.400390625,8209.400390625,8530.080078125,7921.43017578125,8498.4697265625,5921039872
2018-03-27,7833.0400390625,7833.0400390625,8232.7802734375,7797.27978515625,8200.0,5378250240
2018-03-28,7954.47998046875,7954.47998046875,8122.89013671875,7809.169921875,7836.830078125,4935289856
2018-03-29,7165.7001953125,7165.7001953125,7994.330078125,7081.3798828125,7979.06982421875,6361229824
2018-03-30,6890.52001953125,6890.52001953125,7276.66015625,6683.93017578125,7171.4501953125,6289509888
2018-03-31,6973.52978515625,6973.52978515625,7207.85009765625,6863.52001953125,6892.47998046875,4553269760
2018-04-01,6844.22998046875,6844.22998046875,7060.9501953125,6526.8701171875,7003.06005859375,4532100096
2018-04-02,7083.7998046875,7083.7998046875,7135.47021484375,6816.580078125,6844.85986328125,4333440000
2018-04-03,7456.10986328125,7456.10986328125,7530.93994140625,7072.490234375,7102.259765625,5499700224
2018-04-04,6853.83984375,6853.83984375,7469.8798828125,6803.8798828125,7456.41015625,4936000000
2018-04-05,6811.47021484375,6811.47021484375,6933.81982421875,6644.7998046875,6848.64990234375,5639320064
2018-04-06,6636.31982421875,6636.31982421875,6857.490234375,6575.0,6815.9599609375,3766810112
2018-04-07,6911.08984375,6911.08984375,7050.5400390625,6630.509765625,6630.509765625,3976610048
2018-04-08,7023.52001953125,7023.52001953125,7111.56005859375,6919.97998046875,6919.97998046875,3652499968
2018-04-09,6770.72998046875,6770.72998046875,7178.10986328125,6661.990234375,7044.31982421875,4894060032
2018-04-10,6834.759765625,6834.759765625,6872.41015625,6704.14990234375,6795.43994140625,4272750080
2018-04-11,6968.31982421875,6968.31982421875,6968.31982421875,6817.58984375,6843.47021484375,4641889792
2018-04-12,7889.25,7889.25,7899.22998046875,6806.509765625,6955.3798828125,8906250240
2018-04-13,7895.9599609375,7895.9599609375,8183.9599609375,7758.93017578125,7901.08984375,7764460032
2018-04-14,7986.240234375,7986.240234375,8140.7099609375,7846.0,7874.669921875,5191430144
2018-04-15,8329.1103515625,8329.1103515625,8338.419921875,7999.330078125,7999.330078125,5244480000
2018-04-16,8058.669921875,8058.669921875,8371.150390625,7925.72998046875,8337.5703125,5631309824
2018-04-17,7902.08984375,7902.08984375,8285.9599609375,7881.72021484375,8071.66015625,6900879872
2018-04-18,8163.419921875,8163.419921875,8197.7998046875,7886.009765625,7944.43017578125,6529909760
2018-04-19,8294.3095703125,8294.3095703125,8298.6904296875,8138.77978515625,8159.27001953125,7063209984
2018-04-20,8845.830078125,8845.830078125,8880.23046875,8244.5400390625,8286.8798828125,8438110208
2018-04-21,8895.580078125,8895.580078125,8997.5703125,8652.150390625,8848.7900390625,7548550144
2018-04-22,8802.4599609375,8802.4599609375,9001.6396484375,8779.6103515625,8925.0595703125,6629899776
2018-04-23,8930.8798828125,8930.8798828125,8958.5498046875,8788.8095703125,8794.3896484375,6925190144
2018-04-24,9697.5,9697.5,9732.6103515625,8927.830078125,8934.33984375,10678800384
2018-04-25,8845.740234375,8845.740234375,9745.3203125,8799.83984375,9701.0302734375,11083100160
2018-04-26,9281.509765625,9281.509765625,9281.509765625,8727.08984375,8867.3203125,8970559488
2018-04-27,8987.0498046875,8987.0498046875,9375.4697265625,8987.0498046875,9290.6298828125,7566289920
2018-04-28,9348.48046875,9348.48046875,9412.08984375,8931.990234375,8939.26953125,7805479936
2018-04-29,9419.080078125,9419.080078125,9531.490234375,9193.7099609375,9346.41015625,8853000192
2018-04-30,9240.5498046875,9240.5498046875,9477.1396484375,9166.8095703125,9426.1103515625,8673920000
2018-05-01,9119.009765625,9119.009765625,9255.8798828125,8891.0498046875,9251.4697265625,7713019904
2018-05-02,9235.919921875,9235.919921875,9256.51953125,9015.1396484375,9104.599609375,7558159872
2018-05-03,9743.8603515625,9743.8603515625,9798.330078125,9188.150390625,9233.9697265625,10207299584
2018-05-04,9700.759765625,9700.759765625,9779.2001953125,9585.9599609375,9695.5,8217829888
2018-05-05,9858.150390625,9858.150390625,9964.5,9695.1201171875,9700.2802734375,7651939840
2018-05-06,9654.7998046875,9654.7998046875,9940.1396484375,9465.25,9845.3095703125,7222280192
2018-05-07,9373.009765625,9373.009765625,9665.849609375,9231.5302734375,9645.669921875,7394019840
2018-05-08,9234.8203125,9234.8203125,9462.75,9127.76953125,9380.8701171875,7415869952
2018-05-09,9325.1796875,9325.1796875,9374.759765625,9031.6201171875,9223.73046875,7226890240
2018-05-10,9043.9404296875,9043.9404296875,9396.0400390625,9040.51953125,9325.9599609375,6906699776
2018-05-11,8441.490234375,8441.490234375,9052.9599609375,8394.4599609375,9052.9599609375,8488520192
